國文,英文,數學,地理,歷史
69,63,93,60,84
98,97,62,91,68
96,55,55,51,99
58,98,74,67,93
68,79,99,69,78
53,50,90,73,82
69,79,89,88,50
90,50,64,76,98
90,90,70,78,64
58,73,93,73,80
80,51,51,63,69
78,98,66,68,74
63,96,70,62,95
93,95,60,87,72
80,70,100,97,90
62,68,67,93,83
77,57,51,96,88
95,88,88,66,100
64,53,50,96,83
62,51,92,82,58
53,69,66,79,81
84,90,64,94,94
99,88,55,75,93
57,81,80,95,97
58,77,89,68,50
67,90,69,61,88
54,59,79,80,58
54,62,67,75,71
71,85,97,96,69
50,69,84,95,62
86,72,57,91,52
93,72,70,78,91
61,72,53,67,68
64,55,68,75,96
53,65,86,86,92
89,86,73,98,89
64,88,67,56,54
86,50,51,89,73
82,81,91,69,67
78,98,63,62,52
67,65,71,57,98
74,96,83,82,100
97,51,75,64,83
99,57,69,68,80
50,72,88,98,55
100,78,82,75,94
94,74,53,90,96
89,91,93,69,58
94,94,55,90,66
90,63,94,56,56
